 #Line, #Time, #Iter	L2Norm MomentumX    L2Norm MomentumY    L2Norm ContiEq      L2Norm Total        
   166,    33,     5	2.281646E-010       1.106834E-011       9.541839E-014       2.284329E-010       
   167,    34,     1	1.979972E-001       3.797835E-001       9.923638E-004       4.282982E-001       
   168,    34,     2	1.884097E-004       2.219176E-005       1.085786E-013       1.897121E-004       
   169,    34,     3	6.320112E-007       2.893616E-007       1.197943E-013       6.951031E-007       
   170,    34,     4	2.206953E-009       6.172932E-010       1.175237E-013       2.291657E-009       
   171,    34,     5	4.530008E-011       2.846577E-012       1.414315E-013       4.538964E-011       
   172,    35,     1	1.873676E-001       3.418457E-001       4.579998E-003       3.898539E-001       
   173,    35,     2	2.226106E-004       3.120725E-005       2.676629E-013       2.247874E-004       
   174,    35,     3	9.693514E-007       3.064865E-007       1.693811E-013       1.016649E-006       
   175,    35,     4	4.329384E-009       1.110339E-009       2.212184E-013       4.469499E-009       
   176,    35,     5	5.589352E-011       5.493073E-012       1.009912E-013       5.616288E-011       
   177,    36,     1	1.785327E-001       3.108980E-001       7.554789E-004       3.585137E-001       
   178,    36,     2	1.864965E-004       2.167290E-005       3.282096E-014       1.877516E-004       
   179,    36,     3	6.148812E-007       2.849798E-007       2.369433E-014       6.777111E-007       
   180,    36,     4	2.230949E-009       6.466512E-010       2.310783E-014       2.322776E-009       
   181,    36,     5	1.355159E-011       2.936177E-012       2.217405E-014       1.386605E-011       
   182,    37,     1	1.783387E-001       3.332963E-001       1.806089E-003       3.780137E-001       
   183,    37,     2	1.887938E-004       2.183750E-005       3.405746E-013       1.900525E-004       
   184,    37,     3	8.250595E-007       2.867343E-007       2.547747E-013       8.734642E-007       
   185,    37,     4	3.780363E-009       8.564894E-010       3.227276E-013       3.876173E-009       
   186,    37,     5	8.471155E-011       5.055999E-012       3.996289E-013       8.486324E-011       
   187,    38,     1	1.752420E-001       3.110056E-001       1.210273E-003       3.569814E-001       
   188,    38,     2	1.810211E-004       2.111678E-005       9.661351E-014       1.822486E-004       
   189,    38,     3	6.044588E-007       2.820832E-007       1.110980E-013       6.670393E-007       
   190,    38,     4	2.195972E-009       6.555657E-010       1.651225E-013       2.291738E-009       
   191,    38,     5	5.753341E-011       2.774068E-012       1.126828E-013       5.760036E-011       
   192,    39,     1	1.672694E-001       2.919083E-001       9.900339E-004       3.364380E-001       
   193,    39,     2	1.777297E-004       2.069426E-005       1.410043E-013       1.789304E-004       
   194,    39,     3	5.953597E-007       2.785911E-007       8.494407E-014       6.573174E-007       
   195,    39,     4	2.160251E-009       6.495796E-010       8.058951E-014       2.255801E-009       
   196,    39,     5	6.214308E-011       2.645202E-012       1.007935E-013       6.219944E-011       
   197,    40,     1	1.664101E-001       2.877972E-001       9.369338E-004       3.324461E-001       
   198,    40,     2	1.750403E-004       2.029023E-005       1.458096E-013       1.762124E-004       
   199,    40,     3	5.885187E-007       2.757642E-007       1.299722E-013       6.499232E-007       
   200,    40,     4	2.123710E-009       6.465906E-010       1.074954E-013       2.219960E-009       
   201,    40,     5	6.058634E-011       2.565686E-012       6.105781E-014       6.064067E-011       
   202,    41,     1	1.657018E-001       2.889696E-001       9.329372E-004       3.331087E-001       
   203,    41,     2	1.726361E-004       1.988929E-005       3.372588E-014       1.737780E-004       
   204,    41,     3	5.823439E-007       2.732636E-007       4.610697E-014       6.432709E-007       
   205,    41,     4	2.104243E-009       6.440251E-010       3.379194E-014       2.200593E-009       
   206,    41,     5	1.551688E-011       2.508680E-012       2.950141E-014       1.571839E-011       
   207,    42,     1	1.649597E-001       2.937937E-001       9.129369E-004       3.369380E-001       
   208,    42,     2	1.704682E-004       1.946654E-005       4.177156E-014       1.715761E-004       
   209,    42,     3	5.765182E-007       2.709080E-007       2.664640E-014       6.369964E-007       
   210,    42,     4	2.088545E-009       6.412738E-010       3.707674E-014       2.184777E-009       
   211,    42,     5	2.242293E-011       2.458231E-012       2.600478E-014       2.255729E-011       
   212,    43,     1	1.647376E-001       3.023433E-001       9.202174E-004       3.443121E-001       
   213,    43,     2	1.685447E-004       1.903150E-005       3.416664E-014       1.696157E-004       
   214,    43,     3	5.709405E-007       2.685692E-007       3.058418E-014       6.309536E-007       
   215,    43,     4	2.076007E-009       6.381044E-010       2.596480E-014       2.171862E-009       
   216,    43,     5	1.882595E-011       2.415160E-012       3.044793E-014       1.898026E-011       
   217,    44,     1	1.674610E-001       3.180389E-001       9.612184E-004       3.594341E-001       
   218,    44,     2	1.668338E-004       1.862313E-005       7.947709E-014       1.678700E-004       
   219,    44,     3	5.657452E-007       2.661175E-007       5.742199E-014       6.252089E-007       
   220,    44,     4	2.070325E-009       6.344910E-010       9.967417E-014       2.165370E-009       
   221,    44,     5	1.503922E-010       2.390867E-012       1.011073E-013       1.504113E-010       
   222,    45,     1	1.623681E-001       3.232583E-001       9.346782E-004       3.617461E-001       
   223,    45,     2	1.651110E-004       1.825184E-005       7.204396E-014       1.661167E-004       
   224,    45,     3	5.600575E-007       2.635102E-007       6.328367E-014       6.189523E-007       
   225,    45,     4	2.050503E-009       6.292118E-010       9.414716E-014       2.144871E-009       
   226,    45,     5	8.303780E-011       2.368068E-012       9.431024E-014       8.307161E-011       
   227,    46,     1	1.578748E-001       3.285333E-001       9.414120E-004       3.644990E-001       
   228,    46,     2	1.635199E-004       1.786114E-005       1.430828E-013       1.644925E-004       
   229,    46,     3	5.544023E-007       2.606926E-007       7.712705E-014       6.126358E-007       
   230,    46,     4	2.034098E-009       6.237938E-010       5.862971E-014       2.127598E-009       
   231,    46,     5	9.036932E-011       2.729614E-012       6.093421E-014       9.041056E-011       
   232,    47,     1	1.392817E-001       2.727959E-001       9.760346E-004       3.062972E-001       
   233,    47,     2	1.620912E-004       1.756725E-005       2.506979E-014       1.630404E-004       
   234,    47,     3	5.491009E-007       2.575869E-007       2.315296E-014       6.065169E-007       
   235,    47,     4	2.016507E-009       6.167217E-010       2.035982E-014       2.108708E-009       
   236,    47,     5	3.848932E-011       2.252574E-012       3.485504E-014       3.855520E-011       
   237,    48,     1	1.387760E-001       2.713810E-001       1.004857E-003       3.048072E-001       
   238,    48,     2	1.605671E-004       1.717053E-005       3.874738E-014       1.614826E-004       
   239,    48,     3	5.426786E-007       2.543060E-007       4.029484E-014       5.993093E-007       
   240,    48,     4	2.002106E-009       6.095856E-010       3.004877E-014       2.092850E-009       
   241,    48,     5	1.890038E-011       2.233429E-012       2.753155E-014       1.903191E-011       
   242,    49,     1	1.394917E-001       2.767949E-001       2.747201E-003       3.099692E-001       
   243,    49,     2	1.788886E-004       1.997826E-005       4.441460E-014       1.800008E-004       
   244,    49,     3	6.361993E-007       2.718737E-007       3.309194E-014       6.918561E-007       
   245,    49,     4	2.889572E-009       8.636300E-010       5.419541E-014       3.015872E-009       
   246,    49,     5	3.186947E-011       3.713791E-012       3.295244E-014       3.208514E-011       
   247,    50,     1	1.604162E-001       3.392863E-001       1.283467E-003       3.753001E-001       
   248,    50,     2	1.608739E-004       1.661891E-005       7.490992E-014       1.617300E-004       
   249,    50,     3	5.502061E-007       2.542862E-007       8.495559E-014       6.061256E-007       
   250,    50,     4	2.101018E-009       6.073730E-010       6.733505E-014       2.187048E-009       
   251,    50,     5	4.824811E-011       3.096892E-012       7.662489E-014       4.834746E-011       
   252,    51,     1	1.553658E-001       3.128600E-001       8.248757E-004       3.493145E-001       
   253,    51,     2	1.590503E-004       1.619987E-005       1.409816E-013       1.598732E-004       
   254,    51,     3	5.418437E-007       2.516632E-007       1.189757E-013       5.974353E-007       
   255,    51,     4	2.059205E-009       5.978030E-010       1.148341E-013       2.144223E-009       
   256,    51,     5	4.810545E-011       2.157188E-012       1.175988E-013       4.815394E-011       
   257,    52,     1	1.476753E-001       2.863673E-001       1.001145E-003       3.222037E-001       
   258,    52,     2	1.577574E-004       1.587980E-005       4.274596E-013       1.585546E-004       
   259,    52,     3	5.342079E-007       2.472199E-007       3.614057E-013       5.886390E-007       
   260,    52,     4	2.026297E-009       5.865930E-010       1.680669E-013       2.109495E-009       
   261,    52,     5	6.331227E-011       2.093692E-012       1.440103E-013       6.334704E-011       
   262,    53,     1	1.405699E-001       2.585635E-001       6.616784E-004       2.943049E-001       
   263,    53,     2	1.563287E-004       1.552110E-005       2.026543E-014       1.570973E-004       
   264,    53,     3	5.269841E-007       2.428581E-007       2.114406E-014       5.802519E-007       
   265,    53,     4	1.991398E-009       5.749158E-010       2.294215E-014       2.072726E-009       
   266,    53,     5	1.682172E-011       2.033473E-012       3.102120E-014       1.694421E-011       
   267,    54,     1	1.410598E-001       2.828475E-001       1.138692E-003       3.160726E-001       
   268,    54,     2	1.559868E-004       1.523271E-005       6.091579E-013       1.567288E-004       
   269,    54,     3	5.218062E-007       2.382522E-007       5.320430E-013       5.736252E-007       
   270,    54,     4	1.967875E-009       5.635758E-010       3.604975E-013       2.046985E-009       
   271,    54,     5	1.528372E-010       1.049272E-011       2.957710E-013       1.531973E-010       
   272,    55,     1	1.276607E-001       2.529842E-001       8.994371E-004       2.833709E-001       
   273,    55,     2	1.539059E-004       1.489417E-005       1.023326E-013       1.546249E-004       
   274,    55,     3	5.128674E-007       2.332159E-007       9.791964E-014       5.634027E-007       
   275,    55,     4	1.931059E-009       5.504229E-010       7.041874E-014       2.007973E-009       
   276,    55,     5	3.880669E-011       1.962669E-012       2.240917E-013       3.885694E-011       
   277,    56,     1	1.356814E-001       2.436979E-001       9.302157E-004       2.789246E-001       
   278,    56,     2	1.526267E-004       1.436451E-005       6.161494E-014       1.533012E-004       
   279,    56,     3	5.059728E-007       2.283500E-007       1.049444E-013       5.551146E-007       
   280,    56,     4	1.914671E-009       5.389141E-010       8.207123E-014       1.989069E-009       
   281,    56,     5	2.201641E-010       1.940716E-012       9.084822E-014       2.201727E-010       
   282,    57,     1	1.323578E-001       2.381262E-001       8.327995E-004       2.724397E-001       
   283,    57,     2	1.508030E-004       1.406486E-005       9.341106E-014       1.514574E-004       
   284,    57,     3	4.972822E-007       2.229045E-007       7.430052E-014       5.449551E-007       
   285,    57,     4	1.877209E-009       5.241050E-010       1.044479E-013       1.949000E-009       
   286,    57,     5	2.410902E-011       1.856774E-012       1.674660E-013       2.418100E-011       
   287,    58,     1	1.328632E-001       2.412039E-001       8.099784E-004       2.753772E-001       
   288,    58,     2	1.491907E-004       1.375526E-005       3.479109E-014       1.498234E-004       
   289,    58,     3	4.892563E-007       2.175013E-007       3.417579E-014       5.354237E-007       
   290,    58,     4	1.845786E-009       5.102415E-010       3.662747E-014       1.915012E-009       
   291,    58,     5	1.335030E-011       1.803386E-012       3.525903E-014       1.347159E-011       
   292,    59,     1	1.334247E-001       2.469911E-001       7.998576E-004       2.807266E-001       
   293,    59,     2	1.475314E-004       1.342919E-005       3.596123E-014       1.481414E-004       
   294,    59,     3	4.811244E-007       2.120844E-007       3.201327E-014       5.257951E-007       
   295,    59,     4	1.815448E-009       4.963799E-010       2.986581E-014       1.882085E-009       
   296,    59,     5	2.439474E-011       1.764672E-012       3.554082E-014       2.445851E-011       
   297,    60,     1	1.341782E-001       2.556739E-001       8.105590E-004       2.887449E-001       
   298,    60,     2	1.458588E-004       1.309613E-005       3.033091E-014       1.464456E-004       
   299,    60,     3	4.730078E-007       2.067033E-007       2.427799E-014       5.162002E-007       
   300,    60,     4	1.786176E-009       4.825028E-010       2.515618E-014       1.850198E-009       
   301,    60,     5	2.397898E-011       1.726520E-012       3.726436E-014       2.404108E-011       
   302,    61,     1	1.377408E-001       2.711763E-001       8.438535E-004       3.041543E-001       
   303,    61,     2	1.441654E-004       1.280516E-005       8.455056E-014       1.447330E-004       
   304,    61,     3	4.651013E-007       2.013202E-007       9.148916E-014       5.068028E-007       
   305,    61,     4	1.759440E-009       4.689628E-010       1.106739E-013       1.820867E-009       
   306,    61,     5	1.269286E-010       1.718428E-012       8.527167E-014       1.269402E-010       
   307,    62,     1	1.350026E-001       2.782497E-001       2.319441E-003       3.092797E-001       
   308,    62,     2	1.538962E-004       1.248762E-005       1.144534E-013       1.544020E-004       
   309,    62,     3	5.284332E-007       1.971810E-007       7.089711E-014       5.640230E-007       
   310,    62,     4	2.323080E-009       4.740378E-010       5.911459E-014       2.370952E-009       
   311,    62,     5	5.966051E-011       1.766051E-012       8.478331E-014       5.968670E-011       
   312,    63,     1	1.314058E-001       2.848062E-001       8.471501E-004       3.136603E-001       
   313,    63,     2	1.409982E-004       1.236365E-005       6.856183E-014       1.415392E-004       
   314,    63,     3	4.521460E-007       1.911043E-007       6.948414E-014       4.908735E-007       
   315,    63,     4	1.697083E-009       4.458230E-010       7.084770E-014       1.754665E-009       
   316,    63,     5	4.052218E-011       1.732640E-012       8.449681E-014       4.055930E-011       
   317,    64,     1	1.153530E-001       2.359249E-001       8.839211E-004       2.626169E-001       
   318,    64,     2	1.388235E-004       1.228639E-005       3.629679E-014       1.393661E-004       
   319,    64,     3	4.429814E-007       1.860312E-007       2.778631E-014       4.804582E-007       
   320,    64,     4	1.657472E-009       4.310058E-010       2.398630E-014       1.712594E-009       
   321,    64,     5	6.063617E-011       1.592861E-012       2.637126E-014       6.065710E-011       
   322,    65,     1	1.154655E-001       2.356119E-001       9.201904E-004       2.623854E-001       
   323,    65,     2	1.367064E-004       1.208231E-005       3.016063E-014       1.372393E-004       
   324,    65,     3	4.342896E-007       1.811426E-007       4.056776E-014       4.705530E-007       
   325,    65,     4	1.626302E-009       4.182091E-010       3.964511E-014       1.679213E-009       
   326,    65,     5	2.903010E-011       1.564934E-012       3.478970E-014       2.907227E-011       
